GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-201937-1626157-1627774-1629020-1630162-,R. Rubio - K. Towns - J. Layman - J. Vanderbilt - A. Edwards,1610612750,MIN,8,3,5,0.375,96.83333333333333,84,174,0.483,25,66,0.379,24,33,0.727,17,73,90,58,45.0,21,16,11,38,34,217,1.0,428,833,14449,7810,89,94,95,6502,109,102,4861,169,145,5200,119,91,95,80,14781,51,42,14733,14738,109,102,4910
Lineups,-203991-1628381-1629027-1629629-1629631-,C. Capela - J. Collins - T. Young - C. Reddish - D. Hunter,1610612737,ATL,10,3,7,0.3,96.28,89,188,0.473,23,51,0.451,36,44,0.818,21,81,102,57,25.0,14,5,13,28,35,237,31.0,271,833,14679,8308,90,88,85,6657,119,147,4015,82,81,4168,87,75,76,84,14702,106,260,14750,14671,102,89,70
Lineups,-201566-203078-203458-1629060-1629726-,R. Westbrook - B. Beal - A. Len - R. Hachimura - G. Mathews,1610612764,WAS,9,3,6,0.333,96.26,92,171,0.538,15,42,0.357,38,56,0.679,14,73,87,56,32.0,5,8,14,49,43,237,-19.0,351,833,14594,7835,91,84,98,4065,207,193,5070,73,56,5415,164,91,102,87,14741,518,134,14759,14761,71,89,14682
Lineups,-2730-203118-1627788-1629003-1629680-,D. Howard - M. Scott - F. Korkmaz - S. Milton - M. Thybulle,1610612755,PHI,16,12,4,0.75,96.145,81,178,0.455,27,71,0.38,26,36,0.722,19,68,87,47,29.0,18,19,8,55,38,215,1.0,81,46,14165,4974,92,102,89,6965,98,91,4855,149,123,5234,100,99,102,106,14726,70,30,14668,14774,85,103,4910
Lineups,-202710-203482-1628389-1629130-1629639-,J. Butler - K. Olynyk - B. Adebayo - D. Robinson - T. Herro,1610612748,MIA,13,5,8,0.385,96.1,86,176,0.489,27,77,0.351,41,49,0.837,18,91,109,59,22.0,11,10,7,29,35,240,34.0,134,370,14735,7806,93,91,93,6453,98,78,5121,60,66,3929,109,56,64,79,14678,163,93,14623,14681,102,86,61
Lineups,-2738-1628389-1629130-1629216-1629639-,A. Iguodala - B. Adebayo - D. Robinson - G. Vincent - T. Herro,1610612748,MIA,13,8,5,0.615,95.48333333333333,76,163,0.466,23,68,0.338,30,36,0.833,19,58,77,49,24.0,15,12,7,37,49,205,14.0,134,139,14449,5807,94,109,107,6796,119,98,5163,112,123,3930,100,129,122,101,14695,98,67,14623,14732,57,111,337
Lineups,-202954-203145-203952-1627814-1629672-,B. Wanamaker - K. Bazemore - A. Wiggins - D. Lee - E. Paschall,1610612744,GSW,15,8,7,0.533,94.95,74,163,0.454,20,58,0.345,32,41,0.78,7,77,84,46,23.0,13,7,11,46,54,200,13.0,101,139,14679,6048,95,116,107,7068,138,121,5146,101,98,4494,451,81,109,111,14690,122,161,14733,14758,52,115,389
Lineups,-202684-203935-1627759-1628369-1628464-,T. Thompson - M. Smart - J. Brown - J. Tatum - D. Theis,1610612738,BOS,8,5,3,0.625,94.7,90,178,0.506,25,58,0.431,24,33,0.727,23,67,90,60,31.0,12,12,14,36,35,229,-10.0,428,370,13478,5775,96,86,89,4371,109,121,4150,169,145,5200,76,101,95,78,14738,135,67,14759,14726,102,94,14145
Lineups,-203991-1628381-1628989-1629027-1629631-,C. Capela - J. Collins - K. Huerter - T. Young - D. Hunter,1610612737,ATL,9,4,5,0.444,94.42333333333333,77,174,0.443,20,55,0.364,40,42,0.952,21,80,101,50,33.0,9,18,13,33,41,214,32.0,351,534,14449,7609,97,106,95,7339,138,131,5011,65,93,3439,87,76,77,99,14746,215,31,14750,14710,76,105,66
Lineups,-202324-202711-203903-1626220-1630235-,D. Favors - B. Bogdanovic - J. Clarkson - R. O'Neale - T. Forrest,1610612762,UTA,9,7,2,0.778,93.41666666666667,90,170,0.529,24,65,0.369,40,47,0.851,26,75,101,35,27.0,6,9,9,39,30,244,19.0,351,190,11786,4953,98,86,101,4148,116,105,4984,65,74,3882,60,87,77,169,14714,386,107,14704,14742,126,85,176
